input,expected_output,expected_articles
Was hat Außenminister Wadephul der Ukraine bei seinem Besuch in Kiew zugesagt?,Dauerhafte Waffenhilfe aus Deutschland.,2025-06-30/ausland/article_2.md
Wie hoch kann die Witwen- oder Witwerrente im Vergleich zur ursprünglichen Altersrente des Verstorbenen sein?,Die Witwen- oder Witwerrente kann um bis zu 40 bis 75 Prozent niedriger sein als die ursprüngliche Altersrente des oder der Verstorbenen.,2025-04-30/wirtschaft/article_5.md
Wie viele Menschen sind bei der Bundestagswahl wahlberechtigt?,"Rund 59,2 Millionen Menschen, plus deutsche Wahlberechtigte, die im Ausland leben.",2025-02-23/inland/article_13.md
Wie viele direkt gewählte Abgeordnete hätte die CSU bei der Bundestagswahl 2021 mit dem neuen Wahlrecht gehabt?,Die CSU wäre bei der Bundestagswahl 2021 nur mit 36 statt mit 45 direkt gewählten Abgeordneten ins Parlament eingezogen.,2025-01-28/inland/article_6.md
Wie viele Sitze im Parlament in Ottawa haben die Liberalen nach der Auszählung fast aller Wahlbezirke erreicht?,Die Liberalen kommen auf 169 Sitze im Parlament in Ottawa.,2025-04-30/ausland/article_12.md
Welche Rolle spielt Saskia Esken in der SPD laut dem Text?,"Saskia Esken hat kein starkes machtvolles Netzwerk in der SPD und kämpft öffentlich, weil sie offenkundig nicht in der Lage ist, das hinter den Kulissen für sich zu regeln.",2025-04-30/inland/article_2.md
"Wie erfährt die Öffentlichkeit, ob ein neuer Papst gewählt wurde?","Die Öffentlichkeit erfährt über den Schornstein der Sixtinischen Kapelle, ob ein neuer Papst gewählt wurde. Weißer Rauch bedeutet, es gibt einen neuen Papst, und zusätzlich läuten bei einer erfolgreichen Wahl auch die Glocken.",2025-05-08/ausland/article_5.md
Welche fünf Vorschläge hat China zur Lösung der iranischen Nuklearfrage veröffentlicht?,"China veröffentlichte ein Papier mit fünf Vorschlägen zur Lösung der iranischen Nuklearfrage, das in vielen Punkten im Sinne Teherans sein dürfte.",2025-03-14/ausland/article_5.md
Welche Position hat der designierte Landwirtschaftsminister Rainer zu höheren Steuern auf Fleisch?,Rainer lehnt höhere Steuern auf Fleisch ab.,2025-04-30/inland/article_6.md
Was hat der israelische Premierminister Benjamin Netanjahu über die Stationierung israelischer Soldaten im Gazastreifen angekündigt?,Israelische Soldaten sollen künftig in eroberten Gebieten des Gazastreifens stationiert bleiben.,2025-05-06/ausland/article_0.md
Welche finanziellen Auswirkungen erwartet Ford durch die Zollpolitik von US-Präsident Donald Trump?,"Ford rechnet mit einer Belastung von 1,5 Milliarden Dollar durch die Importzölle von Präsident Donald Trump.",2025-05-06/wirtschaft/article_4.md
Seit wann ist das Auszeitmodell bei John Deere im Einsatz?,"Seit fast einem Jahr, seit April 2024.",2025-02-23/wirtschaft/article_1.md
Worum geht es im Prozess gegen Marine Le Pen in Frankreich?,Es geht um den Vorwurf der Veruntreuung von EU-Geldern.,2025-03-31/ausland/article_16.md
Welche Auswirkungen könnten Trumps Zoll-Pläne auf die US-Inflationsrate haben?,Ein Anstieg der US-Inflationsrate wäre unvermeidlich.,2025-01-20/wirtschaft/article_4.md
Welche Partei wirbt derzeit für einen Wiedereintritt in die EU?,Die LibDems werben als einzige Partei derzeit für einen Wiedereintritt in die EU.,2025-01-31/ausland/article_7.md
Welche Themen sind für die neue Koalition strittig?,Strittige Themen sind Klimaschutzmaßnahmen im Energiesektor und 'Taurus'-Lieferungen an die Ukraine.,2025-05-06/inland/article_11.md
Welche Parteien haben sich auf milliardenschwere Investitionen in Verteidigung und Infrastruktur geeinigt?,"Union, SPD und Grüne",2025-03-14/wirtschaft/article_4.md
Welche finanziellen Auswirkungen erwartet Ford durch die Zölle von Trump?,"Ford rechnet mit einer Belastung von 1,5 Milliarden Dollar durch die Zölle, die das bereinigte operative Ergebnis in diesem Jahr um rund 1,5 Milliarden Dollar drücken dürften.",2025-05-06/wirtschaft/article_4.md
Welche Partei hat in den letzten zwölf Monaten an Zustimmung gewonnen?,Die Linke hat wieder an Zustimmung gewonnen.,2025-02-23/inland/article_9.md
Welche Kosten entstehen laut der Studie durch Umwelt- und Klimaschäden bei der Fleischerzeugung in Deutschland?,Kosten in Höhe von rund 21 Milliarden Euro pro Jahr.,2025-04-30/inland/article_6.md
Welche Bedingungen stellt Russland für eine Waffenruhe im Krieg gegen die Ukraine?,Russland fordert einen Stopp der Waffenlieferungen an die Ukraine und das Ende der Mobilmachung als Bedingungen für eine Waffenruhe.,2025-05-31/ausland/article_10.md
Welche Parteien führen nach der Bundestagswahl 2025 Sondierungsgespräche?,"CDU, CSU und SPD",2025-02-28/inland/article_1.md
Wie viele Menschen sind bei dem Minenunglück in Asturien ums Leben gekommen?,Mindestens fünf Menschen sind ums Leben gekommen.,2025-03-31/ausland/article_11.md
"Welche wirtschaftlichen Folgen werden durch das deutsche Vorhaben, Hunderte Milliarden fürs Militär auszugeben, erwartet?","Das deutsche Vorhaben, Hunderte Milliarden fürs Militär auszugeben, wird die Inflation erhöhen.",2025-03-14/wirtschaft/article_5.md
Wann wird das Ergebnis des SPD-Mitgliedervotums über den Koalitionsvertrag bekannt gegeben?,Das Ergebnis soll heute gegen 10.30 Uhr der Öffentlichkeit mitgeteilt werden.,2025-04-30/inland/article_8.md
Was hat die UN-Atombehörde IAEA über das iranische Atomprogramm berichtet?,"Die UN-Atombehörde IAEA gab bekannt, dass die Islamische Republik zuletzt die Anreicherung von Uran auf eine Reinheit nahe 90 Prozent 'drastisch' beschleunigt habe.",2025-03-14/ausland/article_5.md
Wer kann einen Antrag auf ein Parteiverbot stellen?,"Den Antrag auf ein Verbot können nur der Bundestag, die Bundesregierung oder der Bundesrat stellen.",2025-05-08/inland/article_5.md
Warum soll der Heimatschutz in Deutschland verstärkt werden?,Wegen der veränderten Sicherheitslage nach dem russischen Angriff auf die Ukraine hat der Heimatschutz mehr Bedeutung bekommen und soll verstärkt werden.,2025-03-14/inland/article_5.md
Welche Parteien haben ihre Zustimmung zum Zustrombegrenzungsgesetz signalisiert?,"Neben der Union haben auch FDP, AfD und BSW Zustimmung signalisiert.",2025-01-31/inland/article_6.md
Welche Botschaften wurden bei den Ausschreitungen in der Demokratischen Republik Kongo angegriffen?,"Die Botschaften Frankreichs, Ruandas, Belgiens und der Niederlande wurden angegriffen.",2025-01-28/ausland/article_4.md
Welche Maßnahmen wurden in Florenz aufgrund der Überschwemmungen ergriffen?,"Die Stadtverwaltung ordnete die Schließung von Kinos, Theatern und Museen an.",2025-03-14/ausland/article_11.md
Welche Forderung erhebt Russland seit Kriegsbeginn gegenüber der Ukraine?,"Russland erhebt die Forderung, dass die Ukraine faktisch demilitarisiert wird, ihre Armee drastisch verkleinert wird und dass das Land auf eine Mitgliedschaft in der NATO verzichtet.",2025-03-14/ausland/article_2.md
Wie oft wurde bei Kanzlerwahlen seit 1949 sofort eine Mehrheit erreicht?,24-mal,2025-05-06/inland/article_0.md
Wie reagiert der Kreml auf die Kritik von US-Präsident Trump?,"Der Kreml geht nicht direkt auf die Kritik von US-Präsident Trump ein, sondern erklärt, dass der russische Präsident weiterhin offen für Kontakte mit Trump sei und bereit, mit ihm zu sprechen.",2025-03-31/ausland/article_4.md
Wer äußerte sich empört über die organisierte Gewalt am israelischen Trauertag?,Der linksliberale israelische Oppositionspolitiker Jair Golan zeigte sich empört.,2025-04-30/ausland/article_11.md
Warum wird die Trauerfeier für Nasrallah als Machtdemonstration angesehen?,"Es wird eine Machtdemonstration, um zu zeigen: 'Wir sind immer noch stark, wir sind immer noch da und eine politische Kraft mit viel Rückhalt im Libanon'.",2025-02-23/ausland/article_5.md
Warum ist das neue Schwarz-Rot nicht mit der Merkel-Ära vergleichbar?,"Weil man prozentual nicht mehr von einer 'Großen Koalition' sprechen kann: Im Jahr 2005 vereinten Union und SPD noch zusammen 69,4 Prozent der Stimmen, heute sind es rund 45 Prozent.",2025-04-30/inland/article_3.md
An welche oft vergessenen Opfer erinnerte Bundestagspräsidentin Julia Klöckner in ihrer Rede?,"Bundestagspräsidentin Julia Klöckner erinnerte in ihrer Rede an oft vergessene Opfer, darunter Frauen und Mädchen, die Opfer der heranrückenden Truppen waren.",2025-05-08/inland/article_0.md
Was befürchten Kritiker in Bezug auf die Unabhängigkeit der Richter?,"Kritiker befürchten, dass Richter nicht mehr unabhängig entscheiden, sondern sich nach der öffentlichen Meinung oder politischen Interessen richten, um ihre Wiederwahl zu sichern.",2025-05-31/ausland/article_8.md
Aus welchen Ländern kommen die Auszubildenden im ersten Lehrjahr bei Bäckermeister Grobe?,"Sieben aus Vietnam, zwei aus Tunesien, zwei aus Marokko, einer aus der Ukraine und einer aus Tadschikistan.",2025-01-28/wirtschaft/article_8.md
Welcher ungarische Politiker hat Marine Le Pen nach ihrer Verurteilung unterstützt?,Der ungarische Regierungschef Viktor Orban sprach Le Pen nach ihrer Verurteilung seine Unterstützung aus.,2025-03-31/ausland/article_9.md
Welches Kursziel wird für den DAX genannt?,Das Kursziel im DAX befindet sich unverändert bei 22.000 Punkten.,2025-01-28/wirtschaft/article_3.md
Wie viel Prozent hat die Fielmann-Aktie nach der Vorlage von Geschäftszahlen im SDAX zugelegt?,Die Fielmann-Aktie haussierte mit einem Plus von über 13 Prozent.,2025-04-30/wirtschaft/article_0.md
Wie wird der Victory in Europe Day im Daily Telegraph beschrieben?,"Der Victory in Europe Day gibt den Briten das Geschenk, unmissverständlich und ungeniert stolz auf ihr Land zu sein.",2025-05-08/ausland/article_2.md
Welche Stadt hat die Rebellenmiliz M23 im Ostkongo teilweise eingenommen?,Die Rebellenmiliz M23 hat Teile der Provinzhauptstadt Goma im Ostkongo eingenommen.,2025-01-28/ausland/article_7.md
Wie viel Niederschlag fiel im Juni 2025 im Vergleich zur Referenzperiode 1961 bis 1990?,"Es fielen nur 61 Liter Niederschlag pro Quadratmeter, im Vergleich zur Referenzperiode von 1961 bis 1990 (85 Liter) betrug das Defizit fast ein Drittel.",2025-06-30/inland/article_8.md
Wie hoch ist die Kerninflationsrate ohne Energie und Lebensmittel im Februar?,"Die Kerninflationsrate liegt bei 2,6 Prozent.",2025-02-28/wirtschaft/article_11.md
Was fehlt bislang im Tarifkonflikt des öffentlichen Dienstes laut den Gewerkschaften?,Ein Angebot der Arbeitgeberseite.,2025-03-14/wirtschaft/article_11.md
Wie viel Prozent stieg der bereinigte operative Gewinn von Fresenius Medical Care im ersten Quartal?,Der bereinigte operative Gewinn stieg im ersten Quartal um 13 Prozent.,2025-05-06/wirtschaft/article_1.md
Was ist der Grund für den Generalstreik in Belgien?,Der Generalstreik richtet sich gegen die unattraktiveren Regelungen des vorzeitigen Ruhestands durch ein neues System der Rentenabschläge.,2025-03-31/ausland/article_10.md
Worum geht es beim Entwicklungshilfeministerium laut Alabali Radovan?,"Es geht um Krisenprävention, Friedenssicherung und die globalen Herausforderungen.",2025-06-30/ausland/article_6.md
Wie hat sich das deutsche BIP im ersten Quartal 2025 im Vergleich zum Vorquartal entwickelt?,"Das deutsche Bruttoinlandsprodukt (BIP) hat von Januar bis März preis-, saison- und kalenderbereinigt um 0,2 Prozent zum Vorquartal zugelegt.",2025-04-30/wirtschaft/article_1.md
Welche Auswirkungen hatte Trumps Zollpolitik auf die Inflation und die US-Wirtschaft?,"Die Furcht war, dass Trumps Zollpolitik die Inflation massiv anheizen und die USA in eine Rezession stürzen könnte.",2025-04-30/wirtschaft/article_10.md
Welche Länder plant der neue Bundeskanzler Merz an seinem ersten vollen Tag zu besuchen?,Frankreich und Polen,2025-05-06/inland/article_5.md
Warum sieht Litauen russische Züge als Sicherheitsrisiko?,"Seit Russlands Angriff auf die Ukraine sind die Züge für viele Litauer ein potenzielles Sicherheitsrisiko, da Russland mit den Transitzügen verdeckt Soldaten oder Militärgerät in die Exklave Kaliningrad transportieren könnte.",2025-05-31/ausland/article_5.md
Was erklärte Putin über die Kampffähigkeit der russischen Armee und Marine?,"Die Kampffähigkeit der russischen Armee und Marine solle laut Putin weiter verbessert werden. 'Ihre Kampfbereitschaft ist ein entscheidender Teil von Russlands Sicherheit', begründete er die Strategie.",2025-02-23/ausland/article_12.md
Wie viel Prozent hat der DAX im Januar zugelegt?,"Für den Januar ergibt sich ein Wertzuwachs im DAX von 9,15 Prozent.",2025-01-31/wirtschaft/article_7.md
Was war der Grund für die Kritik an Friedrich Merz während des Wahlkampfes 2025?,"Friedrich Merz wurde kritisiert, weil er sagte: 'Links ist vorbei. Es gibt keine linke Mehrheit und keine linke Politik mehr in Deutschland.' Die SPD warf ihm vor, das Land zu spalten und die Sorgen von Millionen Menschen nicht ernst zu nehmen. SPD-Generalsekretär Matthias Miersch bezeichnete ihn als 'Mini-Trump'.",2025-02-23/inland/article_10.md|2025-02-23/inland/article_0.md
Weshalb wurde die Immunität von AfD-Politiker Bystron im Europäischen Parlament aufgehoben?,"Es geht um den Verdacht der Geldwäsche und Bestechlichkeit. Bystron wird beschuldigt, vom Betreiber des prorussischen Portals Voice of Europe Geld erhalten zu haben und im Sinne Russlands agiert zu haben. Darüber hinaus wird ihm Steuerhinterziehung in mindestens fünf Fällen und Betrug in mindestens sechs Fällen vorgeworfen.",2025-05-06/ausland/article_4.md
Welche Länder könnten von Trumps Zolldrohungen gegen Russland betroffen sein?,"Dies träfe vor allem Länder wie China, Indien oder die Türkei.",2025-03-31/ausland/article_0.md
Warum wurde der Fall des Anschlags auf den Weihnachtsmarkt von Magdeburg nicht von der Bundesanwaltschaft übernommen?,"Die Tat in Magdeburg wird eher als Amokfahrt aus persönlicher Frustration betrachtet und weniger als eine terroristische Tat, die gegen die Bundesrepublik oder die freiheitlich demokratische Grundordnung gerichtet ist. Daher fehlt ein spezifischer Staatsschutz-Hintergrund, der eine Übernahme durch die Bundesanwaltschaft rechtfertigen würde.",2025-01-20/inland/article_2.md
Was wünscht sich Maik Ender für Start-ups in Deutschland?,"Maik Ender wünscht sich mehr Investitionen, politische Förderung und weniger Bürokratie für die Start-ups in Deutschland.",2025-01-31/wirtschaft/article_8.md
Warum gab es viel Kritik an der Ernennung von Musk zur Leitung der Behörde DOGE?,"Schon Musks Ernennung als Regierungsangestellter mit besonderen Aufgaben löste bei politischen Beobachtern viel Kritik aus, da er keinen Eid auf die Verfassung abgelegt hat, sich keiner Befragung durch den Senat unterziehen musste und trotz vieler bestehender Interessenskonflikte eingesetzt wurde.",2025-05-31/ausland/article_1.md
Welche Person profitierte von der Aufhebung der EU-Sanktionen durch Ungarn?,Der Oligarch Wjatscheslaw Mosche Kantor profitierte von der Aufhebung der EU-Sanktionen durch Ungarn.,2025-03-14/ausland/article_6.md
Was möchte die SPD in Bezug auf die Schuldenbremse erreichen?,"Die SPD drängt auf eine Reform der Schuldenbremse, unter anderem, um mehr Geld für die Verteidigung ausgeben zu können.",2025-02-28/inland/article_2.md
Wie lange war Elon Musk als Regierungsangestellter tätig?,130 Tage,2025-05-31/ausland/article_1.md
Warum verklagt die AfD das Bundesamt für Verfassungsschutz?,"Die AfD verklagt das Bundesamt für Verfassungsschutz, um gerichtlich untersagen zu lassen, dass er sie als 'gesichert rechtsextremistische Bestrebung' führt, einordnet und behandelt.",2025-05-06/inland/article_6.md
Wie viele Geiseln befinden sich laut israelischen Informationen noch in der Gewalt der Hamas?,Nach israelischen Informationen befinden sich noch 24 Geiseln in der Gewalt der Hamas.,2025-03-14/ausland/article_8.md
Wie viel hat Rheinmetall im ersten Quartal nach Steuern verdient?,Rheinmetall hat im ersten Quartal nach Steuern 108 Millionen Euro verdient.,2025-05-08/wirtschaft/article_4.md
Was fordert Reiner Haseloff von der SPD in Bezug auf die Migrationspolitik?,"Reiner Haseloff fordert die SPD zu Zugeständnissen in der Migrationspolitik auf und betont die Notwendigkeit, an den Grenzen zurückzuweisen, wer keinen Schutz beanspruchen könne, und gleichzeitig die Integration derjenigen zu fördern, die bleiben dürfen.",2025-03-31/inland/article_0.md
"Welche rechtliche Möglichkeit wird vorgeschlagen, um eine Festnahme von Netanjahu zu verhindern?","Safferling schlägt vor, dass Friedrich Merz versuchen könnte, Netanjahu dazu zu bringen, mit dem Internationalen Strafgerichtshof zu kooperieren, indem Netanjahu den Chefankläger nach Jerusalem einlädt und Belege dafür vorlegt, dass die Verbrechen nicht geschehen sind.",2025-02-28/inland/article_5.md
"Welches chinesische Start-up hat ein KI-Modell entwickelt, das die US-Techgiganten verunsichert?","Das chinesische Start-up DeepSeek hat ein KI-Modell entwickelt, das die US-Techgiganten verunsichert.",2025-01-28/wirtschaft/article_10.md
Was ist laut Benjamin Morel der Zweck der vorläufigen Vollstreckung?,Die vorläufige Vollstreckung solle weiteren Schaden vermeiden und sei keine eigentliche Strafe.,2025-03-31/ausland/article_16.md
Wie viele Stimmen hat Friedrich Merz bei der Kanzlerwahl im ersten Durchgang erhalten?,Friedrich Merz erhielt 310 Ja-Stimmen.,2025-05-06/inland/article_3.md
Wer ist wahrscheinlich für das Amt des Verteidigungsministers bei der SPD gesetzt?,Boris Pistorius,2025-04-30/inland/article_2.md
Wie viele Fluggäste wurden im Jahr 2024 an den deutschen Hauptverkehrsflughäfen gezählt?,"Im Jahr 2024 haben die 22 deutschen Hauptverkehrsflughäfen rund 199,5 Millionen Fluggäste gezählt.",2025-01-31/wirtschaft/article_5.md
Was soll der amtierende Bundestag am kommenden Dienstag beschließen?,Der amtierende Bundestag soll das Paket am kommenden Dienstag beschließen.,2025-03-14/inland/article_8.md
Wie viel Prozent der Stimmen hat die Linke bei der Wahl erhalten?,"Die Linke hat 8,7 Prozent der Stimmen erhalten.",2025-02-23/inland/article_1.md
Warum wurden russische und belarusische Vertreter nicht zur Gedenkveranstaltung im Bundestag eingeladen?,Wegen des russischen Überfalls auf die Ukraine wurden russische und belarusische Diplomaten nicht eingeladen.,2025-05-08/inland/article_4.md
Wo wohnt Friedrich Merz laut dem Text?,Friedrich Merz wohnt im Arnsberger Ortsteil Niedereimer.,2025-05-06/inland/article_12.md
Welche Mehrheit benötigt die CDU für die Grundgesetzänderungen im alten Bundestag?,Eine Zweidrittelmehrheit.,2025-03-14/inland/article_7.md
"Wie lange dauerte das Treffen zwischen Selenskyj und Trump, bevor es aus dem Ruder lief?",Rund 40 Minuten,2025-02-28/ausland/article_6.md
Wie versorgt die Deutsche Bahn ihre Züge mit Strom?,"Die Züge der DB fahren in einem separaten Stromnetz, das Bahnstrom in speziellen Kraftwerken erzeugt und in das separate Netz der Bahn einspeist.",2025-04-30/wirtschaft/article_12.md
Welche Eigenschaften werden Wiles in ihrer neuen Position im Weißen Haus zugeschrieben?,"Wiles wird als nervenstark, zäh, klug und innovativ beschrieben.",2025-01-20/ausland/article_8.md
Warum wertet die AfD das Scheitern des CDU-Chefs im ersten Wahlgang als schlechtes Omen?,"Die AfD sieht das Scheitern als schlechtes Omen, weil es zeigt, 'auf welch schwachem Fundament die kleine Koalition aus Union und von den Bürgern abgewählter SPD gebaut ist'.",2025-05-06/inland/article_3.md
Warum lehnt die EVG die Trennung von Infrastruktur- und Transportbereich ab?,"Die EVG lehnt die Trennung ab, weil damit keines der Probleme bei der Bahn gelöst werde.",2025-01-28/wirtschaft/article_1.md
Wie bezeichnete Bundesverteidigungsminister Boris Pistorius das Wahlergebnis?,Boris Pistorius nannte das Ergebnis 'niederschmetternd' und 'katastrophal'.,2025-02-23/inland/article_1.md
Was sagt Trump über die Möglichkeit einer dritten Amtszeit?,"Trump sagt, dass es 'Methoden' gibt, mit denen eine dritte Amtszeit möglich sein könnte, und dass 'viele Leute' wollen, dass er eine dritte Amtszeit anstrebt.",2025-03-31/ausland/article_14.md
Welche Fraktionen stimmten für das 'Zeitenwende'-Gesetz zur Stärkung der Bundeswehr?,"Die Fraktionen von SPD, Grünen, Union, FDP und AfD stimmten dem sogenannten Artikelgesetz zur 'Zeitenwende' der Bundesregierung zu.",2025-01-31/inland/article_4.md
Welche Parteien stimmten gegen Merz bei der Kanzlerwahl?,Grüne und Linke stimmten gegen Merz.,2025-05-06/inland/article_13.md
Welche Plattform wird in der Umfrage als besonders verbreitet für Verschwörungstheorien genannt?,TikTok,2025-01-20/ausland/article_2.md
Was kostet das neue iPhone 16e mindestens?,Der Preis für das neue iPhone 16e liegt bei mindestens 699 Euro.,2025-02-28/wirtschaft/article_0.md
Was haben Kanzler Merz und US-Präsident Trump in ihrem ersten Telefongespräch vereinbart?,"Beide haben eine enge Zusammenarbeit mit dem Ziel einer Beendigung des Krieges in der Ukraine vereinbart und waren sich einig, die Handelsstreitigkeiten rasch beilegen zu wollen.",2025-05-08/inland/article_6.md
Warum wurde ein deutscher Urlauber in einem tschechischen Hotel festgenommen?,"Er wurde festgenommen, weil er vor 40 Jahren aus der DDR über die Tschechoslowakei in den Westen floh und deshalb auf der Liste der unerwünschten Personen aufgrund eines Gerichtsentscheids in Budweis steht.",2025-02-28/ausland/article_8.md
Wie viele indische Drohnen wurden laut pakistanischem Militär abgeschossen?,Zwölf indische Drohnen wurden abgeschossen.,2025-05-08/ausland/article_17.md|2025-05-08/ausland/article_7.md
Welcher Jungenname ist neu in den Top Ten der beliebtesten Vornamen?,Theo ist neu in den Top Ten bei den Jungennamen auf Platz sieben.,2025-05-08/inland/article_1.md
Welche Länder besucht Dänemarks Regierungschefin Frederiksen auf ihrer Diplomatie-Tour?,Frederiksen tourt von Berlin über Paris nach Brüssel.,2025-01-28/ausland/article_6.md
Welche Parteien fühlten sich durch Merz' Äußerungen beim Wahlkampfabschluss in München angesprochen?,SPD und Grüne,2025-02-28/inland/article_0.md
Wie viele indische Drohnen wurden von der pakistanischen Flugabwehr abgeschossen?,Zwölf indische Drohnen wurden von der pakistanischen Flugabwehr abgeschossen.,2025-05-08/ausland/article_17.md|2025-05-08/ausland/article_7.md
Wer wird beim Kirchentag in Hannover erwartet?,Der frühere Bundespräsident Christian Wulff und Altkanzlerin Angela Merkel werden erwartet.,2025-04-30/inland/article_4.md
Welche Entscheidung hat das bayerische Oberste Landesgericht im Wirecard-Skandal getroffen?,Im Kapitalanleger-Musterverfahren können keine Schadenersatzansprüche gegen die Wirtschaftsprüfungsgesellschaft EY vorgebracht werden.,2025-02-28/wirtschaft/article_3.md
"Was ist laut Ulrike Malmendier der Hauptgrund, warum es so aussieht, als ob die Deutschen zu wenig Stunden arbeiten?","Der Hauptgrund ist, dass der Erfolg und die Zunahme an neuen Arbeitskräften oft in Teilzeit stattfindet, was die Statistik verfälscht.",2025-05-31/wirtschaft/article_2.md
Warum hat Kanada die geplante Digitalsteuer zurückgezogen?,Die kanadische Regierung will in Erwartung eines Handelsabkommens mit den USA eine geplante Steuer für Technologiekonzerne zurücknehmen.,2025-06-30/wirtschaft/article_7.md
Wer könnte den Papst im Falle einer dauerhaften Handlungsunfähigkeit vertreten?,Kardinalstaatssekretär Pietro Parolin könnte den Stuhl Petri für unbesetzt erklären.,2025-02-23/ausland/article_11.md|2025-02-23/ausland/article_10.md
Wie hat sich der Euro im Vergleich zum Dollar entwickelt?,"Der Euro gab bis zum Abend um 0,37 Prozent auf 1,1347 Dollar nach.",2025-04-30/wirtschaft/article_0.md
Wie bezeichnet Trump den Klimawandel?,Trump bezeichnet den Klimawandel immer wieder als 'großen Schwindel'.,2025-01-20/ausland/article_5.md
Wo soll das interreligiöse Friedensgebet in Berlin stattfinden?,In der Marienkirche am Alexanderplatz.,2025-02-23/inland/article_2.md
Welche zwei Hauptmodelle der Altersteilzeit gibt es?,Das Blockmodell und das Gleichverteilungsmodell.,2025-01-31/wirtschaft/article_3.md
Warum war Rommel gegen die Freilassung des sogenannten Tiergartenmörders?,"Für Rommel war die Schwere der Tat von besonderem Gewicht und die kurze Dauer der Verbüßung, sodass er die Entscheidung anders getroffen hätte.",2025-01-20/inland/article_2.md
Wer gilt als aussichtsreichster Kontrahent Erdogans bei einer nächsten Wahl?,Ekrem Imamoglu gilt als aussichtsreichster Kontrahent Erdogans bei einer nächsten Wahl.,2025-02-23/ausland/article_1.md
Welche Forderungen stellt die EVG in den Tarifverhandlungen mit der Deutschen Bahn?,"Die EVG fordert eine Gehaltserhöhung von 7,6 Prozent für die rund 192.000 Beschäftigten, ein Zusatzgeld von 2,6 Prozent für Schichtarbeiter, das in freie Tage umwandelbar sein soll, eine Bonuszahlung von 500 Euro für EVG-Mitglieder und eine Jobgarantie bis Ende 2027.",2025-01-28/wirtschaft/article_1.md
Was sagte Friedrich Merz über AfD-Bundestagsabgeordnete und den Vorsitz von Bundestagsausschüssen?,"Friedrich Merz sagte, dass er sich nicht vorstellen könne, dass AfD-Bundestagsabgeordnete den Vorsitz von Bundestagsausschüssen übernehmen.",2025-05-06/inland/article_6.md
Wie hoch war das durchschnittliche Pro-Kopf-Einkommen in Vietnam im Jahr 1990?,"Das durchschnittliche Pro-Kopf-Einkommen in Vietnam lag 1990 bei unter 100 Dollar pro Jahr, genauer gesagt bei 98 Dollar.",2025-04-30/wirtschaft/article_8.md
Wie wirkt sich der Zollstreit auf die deutsche Wirtschaft aus?,Der von US-Präsident Donald Trump begonnene Zollstreit ist ein negativer Faktor für die exportorientierte deutsche Wirtschaft und belastet das Tagesgeschäft enorm.,2025-04-30/wirtschaft/article_1.md
Wie hoch ist die erwartete Belastung für Ford durch die US-Importzölle?,"Die Abgaben dürften den bereinigten operativen Gewinn in diesem Jahr um rund 1,5 Milliarden Dollar drücken.",2025-05-06/wirtschaft/article_1.md
Zu welcher Strafe wurde der 33-jährige Mann im Fall der vergewaltigten Ärztin in Indien verurteilt?,Ein 33-jähriger Mann wurde zu lebenslanger Haft verurteilt.,2025-01-20/ausland/article_16.md
Wie viel wurde für den weißen Bademantel von Udo Jürgens bei der Auktion bezahlt?,Für einen weißen Bademantel zahlte jemand 26.400 Euro.,2025-01-31/ausland/article_3.md
Welche Konsequenzen hat das Urteil für Marine Le Pen?,"Der Verlust ihres passiven Wahlrechts tritt sofort in Kraft und bleibt auch bei einer Berufung wirksam, was eine erneute Kandidatur Le Pens bei der Präsidentschaftswahl 2027 höchstwahrscheinlich ausschließt.",2025-03-31/ausland/article_17.md
"Wer sind die Vorsitzenden der SPD, die an den Sondierungsgesprächen teilnehmen?",Die Parteivorsitzenden Lars Klingbeil und Saskia Esken.,2025-02-28/inland/article_6.md
Wie wird die Bevölkerung in den Dörfern im Falle eines Alarms gewarnt?,Die Bevölkerung wird über eine Warn-App und Sirenen alarmiert.,2025-05-31/ausland/article_14.md
Welche Gewinnmarge erwartet BMW im Segment Automobile für das laufende Jahr?,Die Gewinnmarge im Segment Automobile soll zwischen fünf und sieben Prozent liegen.,2025-03-14/wirtschaft/article_9.md
"Welche Maßnahmen wurden ergriffen, um den Abfluss des Wassers sicherzustellen?","Baumaschinen wurden eingesetzt, um den reibungslosen Ablauf von Geröll und Schwemmholz durch das Bachbett der Lonza innerhalb der Dorfschaften zu gewährleisten.",2025-05-31/ausland/article_12.md
Warum musste Technologie-Chef Jürgen Müller seinen Posten bei SAP aufgeben?,Jürgen Müller musste nach 'unangemessenem Verhalten' auf einer Firmenveranstaltung seinen Posten aufgeben.,2025-01-28/wirtschaft/article_2.md
Wie viel Prozent hat der DAX im ersten Quartal zugelegt?,"Der DAX hat im ersten Quartal 11,3 Prozent zugelegt.",2025-03-31/wirtschaft/article_3.md
Welche Ausnahmen lässt die Weisung von Dobrindt bei der Zurückweisung von Schutzsuchenden zu?,"Die Weisung lässt Spielraum, etwa bei Einreisen von Kindern.",2025-05-08/inland/article_10.md
Wann wollen Union und SPD ihre Beratungen über die Bildung einer schwarz-roten Bundesregierung fortsetzen?,In der kommenden Woche.,2025-02-28/inland/article_2.md
"Welche Maßnahme plant US-Präsident Trump, um die Krise in Hollywood zu bekämpfen?","Trump droht mit Strafzöllen auf Filme, die im Ausland produziert werden.",2025-05-06/wirtschaft/article_0.md
